year,precipitation,temperature,station
1974,39.48,61.2,Chengdu
1975,31.78,62.1,Chengdu
1976,34.95,60.7,Chengdu
1977,34.85,62.0,Chengdu
1978,36.08,62.4,Chengdu
1979,28.43,62.3,Chengdu
1980,34.91,61.9,Chengdu
1981,38.26,61.6,Chengdu
1982,32.26,61.3,Chengdu
1983,29.61,61.7,Chengdu
1984,39.28,60.9,Chengdu
1985,35.9,61.3,Chengdu
1986,35.51,61.3,Chengdu
1987,28.38,62.8,Chengdu
1988,42.31,61.2,Chengdu
1989,38.08,61.2,Chengdu
1990,44.28,62.7,Chengdu
1991,23.38,62.2,Chengdu
1992,34.23,61.4,Chengdu
1993,28.21,61.9,Chengdu
1994,37.23,62.9,Chengdu
1995,35.61,62.4,Chengdu
1996,27.99,61.5,Chengdu
1997,30.83,63.0,Chengdu
1998,35.65,64.3,Chengdu
1999,30.96,63.3,Chengdu
2000,30.84,62.8,Chengdu
2001,32.53,64.1,Chengdu
2002,30.02,64.3,Chengdu
1974,24.67,56.5,Xian
1975,26.44,57.0,Xian
1976,20.23,56.1,Xian
1977,13.63,58.0,Xian
1978,20.87,57.9,Xian
1979,19.33,57.7,Xian
1980,20.16,56.8,Xian
1981,28.59,57.3,Xian
1982,19.63,57.5,Xian
1983,35.56,56.6,Xian
1984,26.18,56.0,Xian
1985,19.34,56.6,Xian
1986,15.86,57.5,Xian
1987,23.96,57.7,Xian
1988,25.92,57.0,Xian
1989,24.67,57.1,Xian
1990,18.05,57.8,Xian
1991,24.13,57.7,Xian
1992,21.24,57.1,Xian
1993,17.35,56.7,Xian
1994,20.91,58.9,Xian
1995,12.29,59.4,Xian
1996,28.09,57.6,Xian
1997,14.25,59.6,Xian
1998,23.64,60.4,Xian
1999,23.21,60.2,Xian
2000,21.22,59.0,Xian
2001,15.98,59.9,Xian
2002,16.0,60.9,Xian
1974,10.28,49.8,Lanzhou
1975,10.98,50.0,Lanzhou
1976,14.25,48.6,Lanzhou
1977,12.53,49.5,Lanzhou
1978,21.52,50.5,Lanzhou
1979,15.89,50.3,Lanzhou
1980,7.45,50.8,Lanzhou
1981,7.9,50.7,Lanzhou
1982,9.19,51.1,Lanzhou
1983,12.09,50.0,Lanzhou
1984,13.78,49.3,Lanzhou
1985,14.97,50.1,Lanzhou
1986,12.34,50.5,Lanzhou
1987,10.89,52.1,Lanzhou
1988,12.58,51.1,Lanzhou
1989,10.98,51.3,Lanzhou
1990,12.44,52.1,Lanzhou
1991,11.09,52.1,Lanzhou
1992,11.99,50.6,Lanzhou
1993,11.8,50.9,Lanzhou
1994,12.53,52.5,Lanzhou
1995,14.5,51.4,Lanzhou
1996,14.52,50.8,Lanzhou
1997,9.27,53.1,Lanzhou
1998,12.57,54.1,Lanzhou
1999,12.94,53.5,Lanzhou
2000,14.17,53.2,Lanzhou
2001,10.64,53.1,Lanzhou
2002,11.03,53.5,Lanzhou
