gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919595292	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710167	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	高黎贡山东坡	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.841921	98.857727							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b7c1-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:21.578Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595271	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710165	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	高黎贡山东坡	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.841921	98.857727							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b89f-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:20.541Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595269	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710176	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	片马丫口西公路	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.841921	98.857727							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b3c4-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:20.178Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595265	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710171	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	石？	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.876096	100.229945							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b5f2-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:19.925Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595260	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710142	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	沧江边叶枝后山	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1940			1940	8104555	8104555	PRESERVED_SPECIMEN	PE		db51c2aa-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		K.M.Feng			2025-11-24T22:57:19.932Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595257	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710159	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	立地坪东山	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51bb37-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京所横断山队			2025-11-24T22:57:19.882Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595254	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710170	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	石？	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.876096	100.229945							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b663-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:19.819Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595252	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710175	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	姚家坪道班林场	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.841921	98.857727							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b434-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:19.710Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595248	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710169	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	石？	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.876096	100.229945							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b6d0-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:19.124Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595247	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710163	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	小马河	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.82308	99.706013							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51b97e-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		青藏队横断山			2025-11-24T22:57:19.169Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595246	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710147	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	维登公社新化至海子	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1982			1982	8104555	8104555	PRESERVED_SPECIMEN	PE		db51c07f-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		青藏队			2025-11-24T22:57:19.152Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595245	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710152	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	104林场	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	26.453601	99.416689							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51be48-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京所横断山队			2025-11-24T22:57:19.217Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595241	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710157	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	叶枝	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935			1935	8104555	8104555	PRESERVED_SPECIMEN	PE		db51bc17-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2025-11-24T22:57:22.754Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595237	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710137	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	叶枝公社倮那大队	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1982			1982	8104555	8104555	PRESERVED_SPECIMEN	PE		db51c4d2-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		青藏队			2025-11-24T22:57:21.983Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
919595235	1b412457-43cf-4a6f-b5c2-7acf01be5977	6710128	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Fargesia	Fargesia nitida		SPECIES	Fargesia nitida (Mitford) Keng f. ex T.P.Yi	Fargesia nitida		CN	碧罗雪山东坡渣子	云南	PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1981			1981	8104555	8104555	PRESERVED_SPECIMEN	PE		db51c99c-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		北京植物所横断山队			2025-11-24T22:57:21.937Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
